파일명,장면,줄,시작(s),끝(s),길이(s),글자수(공백제외),자/초,대사
s1_00.wav,s1,0,0.000,3.422,3.422,21,6.14,시공사가 새로운 공법을 찾는 이유는 분명합니다.
s1_01.wav,s1,1,3.422,5.177,1.755,10,5.70,"더 나은 현장을 만들고,"
s1_02.wav,s1,2,5.177,7.084,1.907,11,5.77,"새로운 기회를 준비하고,"
s1_03.wav,s1,3,7.084,10.051,2.967,18,6.07,시장에서 경쟁력을 갖추기 위해서입니다.
s1_04.wav,s1,4,10.051,12.715,2.664,16,6.01,하지만 좋은 기술을 선택하는 것만으로
s1_05.wav,s1,5,12.715,15.682,2.967,18,6.07,모든 가능성이 현실이 되는 것은 아닙니다.
s1_06.wav,s1,6,15.682,18.044,2.362,14,5.93,"현장에 적합한 기술을 검토하고,"
s1_07.wav,s1,7,18.044,20.405,2.361,14,5.93,필요한 자료와 적용 방안을 준비해
s1_08.wav,s1,8,20.405,23.524,3.119,19,6.09,실제 시공까지 연결하는 과정이 필요합니다.
s1_09.wav,s1,9,23.524,27.552,4.028,25,6.21,POUR는 기술이 현장에 닿기까지의 과정을 생각합니다.
s2_00.wav,s2,0,27.552,31.579,4.027,25,6.21,260만 세대의 현장에서 쌓아온 경험과 데이터를 바탕으로
s2_01.wav,s2,1,31.579,34.698,3.119,19,6.09,현장의 조건과 요구사항을 먼저 살펴봅니다.
s2_02.wav,s2,2,34.698,38.272,3.574,22,6.16,같은 공법이라도 현장의 적용 환경과 공정 조건에 따라
s2_03.wav,s2,3,38.272,40.936,2.664,16,6.01,요구되는 기술과 기준은 달라집니다.
s2_04.wav,s2,4,40.936,43.448,2.512,15,5.97,POUR는 축적된 경험을 바탕으로
s2_05.wav,s2,5,43.448,46.416,2.968,18,6.06,각 현장에 적합한 적용 방향을 찾아갑니다.
s3_00.wav,s3,0,46.416,49.686,3.270,20,6.12,POUR는 기술과 자재만 제공하지 않습니다.
s3_01.wav,s3,1,49.686,53.714,4.028,25,6.21,기술개발과 자재 생산부터 공사 전·중·후 현장관리까지.
s3_02.wav,s3,2,53.714,57.136,3.422,21,6.14,"높은 선정률로 이어지는 공법설명회를 진행하고,"
s3_03.wav,s3,3,57.136,61.164,4.028,25,6.21,각 현장에 맞는 기술자료를 체계적으로 기획·제작합니다.
s3_04.wav,s3,4,61.164,64.282,3.118,19,6.09,각 분야의 전문가와 AI 디지털 기술을 연결해
s3_05.wav,s3,5,64.282,67.250,2.968,18,6.06,"현장에 필요한 정보를 정밀하게 분석하고,"
s3_06.wav,s3,6,67.250,70.520,3.270,20,6.12,기술검토의 정확도와 지원의 속도를 높입니다.
s3_07.wav,s3,7,70.520,72.730,2.210,13,5.88,"시공사의 판단은 더 명확하게,"
s3_08.wav,s3,8,72.730,76.152,3.422,21,6.14,현장 대응과 제안의 완성도는 한 단계 높아지도록.
s3_09.wav,s3,9,76.152,78.361,2.209,13,5.89,POUR의 60명 전문 인력이
s3_10.wav,s3,10,78.361,81.328,2.967,18,6.07,하나의 현장을 중심으로 함께 움직입니다.
s3_11.wav,s3,11,81.328,83.993,2.665,16,6.00,이것이 POUR의 지원 체계입니다.
s4_00.wav,s4,0,83.993,88.475,4.482,28,6.25,POUR와의 협력은 서로의 방향을 확인하는 것에서 시작합니다.
s4_01.wav,s4,1,88.475,91.139,2.664,16,6.01,첫 번째는 POUR 본사 미팅입니다.
s4_02.wav,s4,2,91.139,95.016,3.877,24,6.19,"POUR의 기술 운영 방식과 현장 지원 체계를 소개하고,"
s4_03.wav,s4,3,95.016,97.983,2.967,18,6.07,협력을 위한 기본 방향을 함께 정리합니다.
s4_04.wav,s4,4,97.983,100.496,2.513,15,5.97,두 번째는 시공사 방문 미팅입니다.
s4_05.wav,s4,5,100.496,104.978,4.482,28,6.25,POUR가 직접 방문해 시공사의 주요 사업과 현장 운영 방향을 듣고
s4_06.wav,s4,6,104.978,109.461,4.483,28,6.25,POUR 공법의 적용 방식과 지원 내용을 구체적으로 설명합니다.
s4_07.wav,s4,7,109.461,112.579,3.118,19,6.09,두 차례의 만남을 통해 협력의 기준이 마련되면
s4_08.wav,s4,8,112.579,115.244,2.665,16,6.00,세 번째 단계로 MOU를 체결합니다.
s5_00.wav,s5,0,115.244,118.817,3.573,22,6.16,좋은 공법의 기준은 결국 현장에서 이기는 것입니다.
s5_01.wav,s5,1,118.817,120.572,1.755,10,5.70,"선택되고, 적용되고,"
s5_02.wav,s5,2,120.572,123.085,2.513,15,5.97,수주와 실적으로 이어져야 합니다.
s5_03.wav,s5,3,123.085,124.665,1.580,8,5.06,"더 많이 수주하고,"
s5_04.wav,s5,4,124.665,126.875,2.210,13,5.88,더 많은 실적을 만들 수 있도록.
s5_05.wav,s5,5,126.875,129.084,2.209,13,5.89,"기술부터 영업, 현장 적용까지"
s5_06.wav,s5,6,129.084,131.445,2.361,14,5.93,시공사가 이길 수 있는 모든 과정에
s5_07.wav,s5,7,131.445,133.352,1.907,11,5.77,POUR가 함께합니다.
